"","SCR_exp1","SCR_exp2","SCR_exp3","SCR_exp4","GLS_KO_exp1","GLS_KO_exp2","GLS_KO_exp3","GLS_KO_exp4"
"ENSG00000303609",1,0,0,0,0,0,0,0
"ENSG00000006756",480,616,529,467,735,643,529,594
"ENSG00000168769",291,493,292,428,523,471,513,571
"ENSG00000298367",7,5,4,2,9,4,2,4
"ENSG00000306268",1,0,1,0,1,1,1,1
"ENSG00000301775",14,18,24,15,12,14,20,6
"ENSG00000302240",0,0,0,0,1,0,0,0
"ENSG00000249614",0,3,0,1,0,1,0,2
"ENSG00000250920",0,0,1,0,0,0,0,0
"ENSG00000164039",390,488,287,268,462,402,244,343
"ENSG00000164037",0,2,1,2,4,1,1,0
"ENSG00000286242",0,3,0,0,0,1,0,0
"ENSG00000251288",1,0,3,1,0,2,1,1
"ENSG00000224207",1,0,1,0,0,0,0,0
"ENSG00000230069",0,0,4,0,3,0,0,0
"ENSG00000241981",1,1,0,0,0,0,0,0
"ENSG00000109323",238,264,202,208,324,301,315,332
"ENSG00000304360",1,1,3,3,2,0,1,1
"ENSG00000109320",1592,1990,1822,1863,2468,2083,2156,2271
"ENSG00000260651",0,0,0,2,0,0,0,0
"ENSG00000198937",295,210,392,205,317,220,289,282
"ENSG00000138821",389,465,572,593,535,433,766,792
"ENSG00000298500",0,0,1,1,0,0,3,0
"ENSG00000254531",28,23,26,16,36,39,16,26
"ENSG00000250403",4,2,14,12,12,17,8,14
"ENSG00000299569",1,1,0,0,0,1,1,0
"ENSG00000109270",392,475,294,446,568,429,606,643
"ENSG00000070190",0,1,0,0,0,0,1,0
"ENSG00000288761",1,8,1,1,2,10,0,3
"ENSG00000250874",18,17,22,21,17,15,11,20
"ENSG00000145331",205,198,192,210,201,211,254,269
"ENSG00000136261",4186,4414,4285,3994,4191,3617,3810,4105
"ENSG00000246090",7,13,13,10,13,6,10,14
"ENSG00000111837",3,1,4,3,0,2,1,10
"ENSG00000164024",1930,2049,2162,2146,2566,2102,2527,2692
"ENSG00000249055",0,0,1,0,0,1,0,0
"ENSG00000227118",7,3,7,3,2,6,3,12
"ENSG00000260641",1,4,4,1,2,2,8,5
"ENSG00000168785",302,342,373,390,399,420,676,755
"ENSG00000138698",1462,1662,1354,1377,2001,1697,1723,1845
"ENSG00000254044",0,0,0,1,0,0,0,0
"ENSG00000236764",1,0,2,0,0,0,0,0
"ENSG00000127914",517,1094,656,759,754,787,740,771
"ENSG00000287841",0,0,0,0,0,0,0,1
"ENSG00000250655",0,1,0,0,0,0,0,0
"ENSG00000284823",2,0,5,1,0,1,6,5
"ENSG00000271474",39,34,24,28,32,26,24,26
"ENSG00000182168",402,733,499,662,813,804,691,674
"ENSG00000138696",98,121,113,115,133,130,139,159
"ENSG00000249599",0,0,0,0,0,0,0,1
"ENSG00000163110",983,1317,1205,1612,1521,1323,2123,2274
"ENSG00000163106",0,1,0,0,0,0,0,0
"ENSG00000246541",1,0,0,0,0,0,0,0
"ENSG00000172238",3,0,2,1,3,1,1,6
"ENSG00000309255",2,1,1,1,1,3,3,1
"ENSG00000056050",360,311,462,382,385,318,452,528
"ENSG00000279013",0,0,0,0,0,0,4,0
"ENSG00000137193",176,204,224,179,244,213,270,311
"ENSG00000303554",0,0,1,0,0,0,0,0
"ENSG00000247775",0,1,0,3,0,1,0,0
"ENSG00000196564",1,0,0,0,1,0,0,2
"ENSG00000185477",22,28,6,21,46,42,26,30
"ENSG00000270720",0,0,0,0,0,0,0,1
"ENSG00000138640",153,269,141,178,186,164,165,191
"ENSG00000248019",6,4,6,1,10,2,1,1
"ENSG00000177432",0,0,0,0,0,0,0,1
"ENSG00000249755",0,0,1,0,0,3,1,3
"ENSG00000287542",0,0,0,0,0,25,0,0
"ENSG00000249934",0,0,0,0,1,0,0,1
"ENSG00000304354",13,11,3,10,6,17,12,6
"ENSG00000130226",149,161,95,79,317,266,92,101
"ENSG00000118762",462,654,377,488,699,580,443,500
"ENSG00000251127",0,1,1,0,3,1,2,9
"ENSG00000289034",8,9,3,1,6,1,5,4
"ENSG00000165643",0,2,0,0,0,1,2,0
"ENSG00000118785",35,37,85,103,35,22,116,114
"ENSG00000231989",9,20,20,15,21,17,15,22
"ENSG00000307909",1,0,0,0,0,0,0,0
"ENSG00000152583",0,0,0,0,0,0,0,1
"ENSG00000232119",1855,1972,2042,2241,2354,1721,2483,2833
"ENSG00000249262",0,0,0,1,0,1,0,0
"ENSG00000198189",415,581,341,428,577,513,417,508
"ENSG00000170509",0,1,0,0,0,0,0,0
"ENSG00000248180",70,56,134,81,103,106,48,83
"ENSG00000145332",228,314,184,241,301,326,285,334
"ENSG00000172493",184,321,180,231,328,317,289,316
"ENSG00000284968",4,6,10,6,10,1,5,9
"ENSG00000251411",0,1,13,4,2,4,1,3
"ENSG00000285458",0,0,2,10,2,7,11,6
"ENSG00000243312",0,1,2,1,3,2,0,2
"ENSG00000163629",83,149,61,74,134,148,82,93
"ENSG00000249741",36,44,25,28,27,28,48,75
"ENSG00000138639",24,38,57,53,53,44,92,82
"ENSG00000234592",1,0,0,0,0,0,0,0
"ENSG00000201901",0,0,1,0,1,0,0,0
"ENSG00000294930",8,6,0,0,5,2,2,1
"ENSG00000307287",0,3,0,0,0,1,2,0
"ENSG00000138678",938,1079,977,1287,1574,1213,1611,1821
"ENSG00000163322",94,133,65,137,132,122,110,125
"ENSG00000163319",306,260,284,315,344,241,383,447
"ENSG00000163312",106,123,105,118,147,106,124,143
"ENSG00000173085",168,143,170,185,216,154,256,247
"ENSG00000305249",0,0,0,0,1,0,0,0
"ENSG00000286035",0,0,1,0,0,2,0,1
"ENSG00000138663",356,388,367,485,508,426,652,652
"ENSG00000251022",276,350,262,313,349,278,302,351
"ENSG00000138674",1528,2330,1696,2347,2748,2302,2805,2803
"ENSG00000145284",111,128,96,131,163,147,152,159
"ENSG00000248113",12,22,26,28,31,26,17,35
"ENSG00000227304",2,2,0,2,3,2,1,2
"ENSG00000249242",6,12,7,8,24,21,6,14
"ENSG00000294456",15,15,15,7,11,8,18,17
"ENSG00000250325",0,1,5,1,4,7,1,2
"ENSG00000272677",6,4,7,3,3,1,3,12
"ENSG00000309713",0,0,0,0,2,0,0,0
"ENSG00000138668",3701,3520,5274,3981,4435,3426,4558,5337
"ENSG00000289480",0,3,0,2,2,4,1,5
"ENSG00000213420",45,48,36,34,30,27,12,15
"ENSG00000273156",3,0,1,1,0,0,0,0
"ENSG00000305474",0,0,1,0,0,0,0,0
"ENSG00000107372",2092,2572,1864,2299,2927,2498,2442,2776
"ENSG00000138669",0,0,0,0,1,0,2,0
"ENSG00000232327",0,0,1,0,0,0,0,0
"ENSG00000307236",0,0,0,1,1,3,1,2
"ENSG00000295975",3,1,2,2,3,0,3,2
"ENSG00000248719",1,0,0,0,0,1,0,0
"ENSG00000244002",0,1,0,0,5,0,0,1
"ENSG00000236530",13,8,36,10,18,11,13,25
"ENSG00000184108",1,1,0,0,0,0,0,0
"ENSG00000249307",0,3,1,4,6,1,2,7
"ENSG00000260278",1,1,0,0,0,0,1,0
"ENSG00000306196",12,6,2,3,2,3,2,9
"ENSG00000287632",0,0,0,0,1,0,2,1
"ENSG00000251442",0,2,5,1,1,0,13,1
"ENSG00000181104",945,1345,1051,1486,1304,1044,1742,2022
"ENSG00000304802",0,0,0,2,0,0,0,0
"ENSG00000249565",338,427,1113,593,516,432,635,840
"ENSG00000248640",0,0,0,0,0,0,1,1
"ENSG00000169288",266,277,401,343,306,251,405,434
"ENSG00000138767",121,233,122,148,284,240,192,217
"ENSG00000138764",159,199,39,75,170,211,72,83
"ENSG00000214062",2,0,4,1,5,1,2,2
"ENSG00000288888",0,0,0,0,0,0,0,3
"ENSG00000289443",4,9,5,9,2,4,6,12
"ENSG00000118816",1667,1875,1348,1642,2228,2007,1811,1979
"ENSG00000138758",1818,2765,2086,2582,3073,2555,3088,3437
"ENSG00000185122",2622,2706,4384,2776,3273,2671,3089,3703
"ENSG00000294131",3,5,1,2,6,1,1,3
"ENSG00000124786",189,162,149,201,198,160,231,212
"ENSG00000138771",398,681,376,371,556,555,494,509
"ENSG00000302014",0,0,1,0,0,0,0,0
"ENSG00000118804",88,84,107,85,130,114,84,106
"ENSG00000272414",0,10,13,0,0,3,5,9
"ENSG00000138760",2420,2988,1373,1751,3609,3463,2060,2152
"ENSG00000286074",0,0,3,2,4,1,2,6
"ENSG00000138750",530,612,360,540,656,542,612,638
"ENSG00000169248",18,16,7,7,23,27,8,7
"ENSG00000156219",144,188,39,57,198,201,23,34
"ENSG00000240790",0,1,0,0,2,0,0,1
"ENSG00000198301",738,846,952,886,962,728,1088,1091
"ENSG00000272236",0,0,0,0,1,0,0,0
"ENSG00000138757",1681,2071,1356,1740,2458,2074,1959,2123
"ENSG00000138769",0,0,1,3,2,0,0,0
"ENSG00000174792",0,0,0,0,0,0,0,1
"ENSG00000307857",2,0,0,0,1,0,4,1
"ENSG00000249717",0,0,0,0,0,0,2,0
"ENSG00000124882",0,0,1,2,2,1,2,0
"ENSG00000304759",0,0,0,0,0,0,1,0
"ENSG00000163738",152,172,93,142,189,133,185,203
"ENSG00000081041",26,18,26,34,19,12,28,46
"ENSG00000251017",4,7,9,4,6,9,9,9
"ENSG00000165675",363,457,509,537,630,549,579,641
"ENSG00000131711",687,1273,1019,813,1333,1241,1466,1586
"ENSG00000163734",8,8,11,5,8,16,6,2
"ENSG00000249920",0,0,4,5,1,0,2,3
"ENSG00000169429",820,714,473,576,946,815,939,824
"ENSG00000305572",0,0,0,1,0,0,0,0
"ENSG00000230290",1,2,2,1,3,0,2,3
"ENSG00000250220",3,15,11,21,9,14,17,18
"ENSG00000248641",18,15,35,19,24,17,29,36
"ENSG00000299967",0,0,0,0,0,3,0,0
"ENSG00000163626",338,398,333,390,419,360,351,478
"ENSG00000270665",1,0,2,1,3,2,0,5
"ENSG00000306854",1,0,0,0,0,0,1,0
"ENSG00000300789",0,1,0,0,0,0,0,1
"ENSG00000056291",7,10,2,4,5,0,4,17
"ENSG00000249170",0,0,0,0,0,0,0,1
"ENSG00000080493",2,1,1,2,12,6,6,9
"ENSG00000156136",668,799,524,840,1003,842,896,1065
"ENSG00000173542",770,1255,547,821,1073,1057,952,1056
"ENSG00000132463",2575,2646,2443,2777,3300,2735,3157,3508
"ENSG00000018189",152,195,148,170,214,193,197,214
"ENSG00000132464",0,0,1,0,0,0,0,0
"ENSG00000171195",0,0,0,0,0,0,1,0
"ENSG00000261334",0,1,0,0,1,1,1,0
"ENSG00000109205",0,1,0,0,1,0,0,0
"ENSG00000182307",1827,1904,2362,1931,2284,1847,2370,2732
"ENSG00000173597",1,1,7,10,11,7,23,19
"ENSG00000304713",2,0,0,0,0,0,0,0
"ENSG00000249763",0,0,0,0,1,0,0,0
"ENSG00000213759",0,1,0,0,0,0,0,0
"ENSG00000305293",3,2,3,1,1,1,1,1
"ENSG00000250919",0,0,0,0,0,1,0,0
"ENSG00000154553",704,847,418,455,843,695,441,451
"ENSG00000250277",0,0,0,1,0,1,2,0
"ENSG00000165689",1949,1974,2756,1772,2188,1842,2135,2310
"ENSG00000289942",0,1,0,1,0,0,0,0
"ENSG00000203778",61,48,50,52,67,51,48,54
"ENSG00000185873",0,0,0,0,0,0,0,1
"ENSG00000230204",32,39,46,55,56,29,67,86
"ENSG00000187054",0,0,0,0,0,0,0,1
"ENSG00000232398",0,0,0,0,1,0,0,0
"ENSG00000202374",0,1,0,0,0,0,0,0
"ENSG00000109163",2,8,0,3,3,1,4,0
"ENSG00000270292",0,0,0,4,1,0,2,0
"ENSG00000270228",31,27,34,32,34,8,51,8
"ENSG00000250656",1,2,2,2,5,1,5,2
"ENSG00000270257",0,0,0,0,0,1,0,0
"ENSG00000133874",46,52,30,31,47,35,21,16
"ENSG00000033178",1123,1501,1344,1733,1791,1508,1915,1950
"ENSG00000250030",6,3,8,2,5,0,5,8
"ENSG00000270948",0,0,0,1,0,0,0,0
"ENSG00000249413",4,2,4,1,7,4,2,7
"ENSG00000189157",20,5,3,10,8,10,2,6
"ENSG00000250846",0,0,1,0,0,0,0,0
"ENSG00000231162",2,4,1,5,4,3,5,4
"ENSG00000152795",5113,4785,5070,4637,5585,4614,5144,5585
"ENSG00000231995",0,0,0,0,1,0,0,0
"ENSG00000231442",0,0,2,1,0,1,0,3
"ENSG00000138835",660,731,503,392,686,524,522,585
"ENSG00000225405",1,0,0,0,3,2,0,0
"ENSG00000226439",12,14,24,8,16,6,7,11
"ENSG00000289308",1,0,2,0,0,0,0,0
"ENSG00000241261",0,0,0,0,2,0,0,0
"ENSG00000218069",34,27,57,23,28,40,31,49
"ENSG00000305205",29,26,29,45,60,34,20,49
"ENSG00000218965",0,0,0,0,1,3,1,0
"ENSG00000250192",0,0,0,0,0,0,0,2
"ENSG00000047315",5873,6815,5340,6317,7822,6423,7541,8148
"ENSG00000269949",5,4,6,5,5,3,4,0
"ENSG00000227040",11,8,21,19,13,15,16,17
"ENSG00000089289",1372,1293,1399,1043,1630,1399,1309,1425
"ENSG00000248590",15,17,10,8,25,18,3,8
"ENSG00000249693",5,3,1,5,1,3,4,1
"ENSG00000174780",5432,6562,5498,6461,8115,6611,7463,8241
"ENSG00000290817",2,1,0,0,1,2,3,0
"ENSG00000157426",285,369,245,384,483,370,373,387
"ENSG00000136280",374,302,679,400,365,324,327,359
"ENSG00000250324",0,0,0,0,0,0,1,0
"ENSG00000280057",4,3,1,0,2,2,0,3
"ENSG00000174799",338,488,498,659,548,447,714,812
"ENSG00000287382",6,11,4,22,4,10,11,15
"ENSG00000253775",1,0,0,1,0,0,0,1
"ENSG00000090989",874,1065,927,996,1292,1095,1095,1216
"ENSG00000109255",15,10,20,10,14,12,12,12
"ENSG00000163440",4,2,1,2,6,5,4,13
"ENSG00000272969",5,8,7,3,3,4,5,3
"ENSG00000134852",637,1311,693,957,1206,1150,1151,1318
"ENSG00000134851",1427,1458,1209,1501,1889,1596,1847,1883
"ENSG00000273257",0,0,0,0,0,0,0,3
"ENSG00000249700",2,3,5,6,4,9,2,2
"ENSG00000288695",6,3,4,5,16,2,6,0
"ENSG00000128052",94,124,229,268,211,190,344,387
"ENSG00000303750",2,9,7,4,3,6,0,9
"ENSG00000298268",0,0,0,0,1,0,0,0
"ENSG00000147872",4480,4879,8477,6756,6350,4827,9785,10653
"ENSG00000244422",0,0,1,1,0,0,0,1
"ENSG00000107104",1894,2608,2356,2094,2976,2591,2152,2358
"ENSG00000106780",292,505,162,349,521,487,352,329
"ENSG00000134853",497,731,252,270,852,730,273,272
"ENSG00000242670",1,4,2,1,5,6,7,3
"ENSG00000250147",1,0,0,0,0,0,0,0
"ENSG00000231235",0,1,0,1,0,0,0,1
"ENSG00000287534",1,1,3,0,0,0,0,3
"ENSG00000298834",0,0,0,0,0,0,0,1
"ENSG00000109220",294,290,212,277,389,285,340,398
"ENSG00000229585",0,2,0,0,0,0,0,0
"ENSG00000249341",1,0,0,0,0,0,0,1
"ENSG00000227719",1,0,0,0,0,0,0,0
"ENSG00000145216",3452,3721,2937,2837,4156,3481,3168,3549
"ENSG00000269964",0,0,0,0,0,1,0,0
"ENSG00000248115",3,0,0,0,1,1,1,5
"ENSG00000184178",1124,1431,942,958,1419,1254,981,1166
"ENSG00000305969",2,1,3,0,0,0,1,2
"ENSG00000248971",7,8,7,5,9,10,9,8
"ENSG00000248375",11,12,6,3,19,8,9,13
"ENSG00000293643",0,1,3,0,0,0,2,2
"ENSG00000226950",1404,1717,1221,1835,2068,1583,2165,2402
"ENSG00000251571",0,0,1,3,0,0,2,0
"ENSG00000260120",0,1,0,0,0,0,0,0
"ENSG00000248866",72,96,43,51,86,93,52,47
"ENSG00000163069",1410,1651,1147,1355,1896,1585,1742,1782
"ENSG00000188993",0,1,3,6,0,4,1,7
"ENSG00000272576",1,3,2,1,0,0,1,1
"ENSG00000137055",2483,2944,2954,2994,3275,2774,3406,3849
"ENSG00000309101",0,0,1,0,0,0,1,1
"ENSG00000268736",1,0,0,0,0,0,0,1
"ENSG00000250016",0,0,0,3,0,0,0,0
"ENSG00000280043",0,0,2,3,1,0,3,3
"ENSG00000309878",13,27,14,27,18,19,22,24
"ENSG00000225455",8,3,11,9,7,6,6,13
"ENSG00000145247",1,1,0,0,1,0,1,0
"ENSG00000248256",0,3,0,1,2,0,0,1
"ENSG00000109180",3876,4058,3417,3686,4817,3879,4577,4870
"ENSG00000075539",761,1559,934,1153,1404,1431,1397,1456
"ENSG00000272288",16,14,17,13,12,19,14,10
"ENSG00000145248",8,12,5,7,9,13,6,8
"ENSG00000296294",0,1,0,0,3,2,0,0
"ENSG00000290217",0,0,0,0,2,0,0,0
"ENSG00000074966",7,4,8,10,3,0,5,3
"ENSG00000204574",3889,3848,8133,4430,4816,3793,5386,5932
"ENSG00000198515",2,4,5,3,0,0,1,4
"ENSG00000163293",148,175,85,130,214,204,162,189
"ENSG00000170448",521,660,614,695,844,666,784,872
"ENSG00000145246",218,289,302,443,429,324,490,490
"ENSG00000282904",1,0,2,0,0,0,2,1
"ENSG00000169019",729,647,691,775,817,580,866,939
"ENSG00000260918",0,1,0,1,0,0,0,1
"ENSG00000250802",69,68,71,79,95,57,80,108
"ENSG00000163288",0,0,0,0,2,0,0,0
"ENSG00000249936",122,119,203,139,147,107,101,169
"ENSG00000163285",7,3,4,5,8,7,15,5
"ENSG00000163281",515,640,368,606,652,553,687,745
"ENSG00000183783",1,0,1,0,0,1,1,0
"ENSG00000251350",24,27,10,10,20,27,15,14
"ENSG00000124399",5,4,6,7,6,2,7,10
"ENSG00000250657",0,1,0,0,0,0,3,2
"ENSG00000248283",1,0,0,0,0,0,0,1
"ENSG00000124406",21,14,17,29,47,39,32,38
"ENSG00000272862",2,1,1,0,0,0,0,0
"ENSG00000182308",19,30,46,31,23,9,42,70
"ENSG00000109133",3300,3934,2553,3948,4381,3512,5133,5549
"ENSG00000245870",0,0,0,0,0,0,2,1
"ENSG00000249745",0,0,1,0,0,0,0,0
"ENSG00000109132",0,0,0,0,0,0,0,1
"ENSG00000249216",0,1,2,1,1,0,1,1
"ENSG00000287762",0,3,3,6,3,0,0,2
"ENSG00000290574",8,6,3,4,6,4,8,5
"ENSG00000064042",1301,1674,1716,1690,1851,1480,1647,1829
"ENSG00000154277",0,0,2,0,0,0,1,0
"ENSG00000163697",407,652,512,615,842,640,1029,1061
"ENSG00000305147",0,0,0,1,0,0,0,0
"ENSG00000198917",894,930,1810,1194,1085,885,1373,1418
"ENSG00000249241",0,0,0,0,0,0,1,0
"ENSG00000260296",7,5,1,3,8,4,2,0
"ENSG00000078177",472,756,311,466,944,786,611,625
"ENSG00000293349",0,0,0,2,0,0,2,4
"ENSG00000300213",2,10,10,5,4,6,3,3
"ENSG00000231707",7,7,14,7,7,10,7,17
"ENSG00000250568",23,31,68,53,33,34,50,53
"ENSG00000289609",131,190,77,91,225,191,103,94
"ENSG00000196335",16,20,7,12,14,18,8,20
"ENSG00000249348",24,34,24,22,31,27,27,28
"ENSG00000109814",1535,1769,1250,1241,2216,1850,1334,1352
"ENSG00000224097",1,0,0,6,3,0,5,0
"ENSG00000106803",1052,1009,742,905,1201,999,1033,1237
"ENSG00000035928",2088,2613,2315,2751,3283,2697,3353,3582
"ENSG00000253334",0,1,1,0,0,0,0,0
"ENSG00000109790",1032,1246,750,991,1531,1317,1262,1381
"ENSG00000121895",1,0,4,0,2,1,5,1
"ENSG00000109787",713,963,436,640,1062,914,828,855
"ENSG00000213204",0,0,4,2,2,3,0,5
"ENSG00000299929",0,0,0,1,2,0,1,2
"ENSG00000251635",0,0,0,1,0,1,0,1
"ENSG00000303434",0,0,1,0,0,0,0,0
"ENSG00000249534",0,0,0,0,0,0,0,1
"ENSG00000147117",14,19,12,15,19,13,10,7
"ENSG00000251332",0,0,1,0,0,0,0,0
"ENSG00000293831",0,1,1,0,1,0,0,2
"ENSG00000293809",11,26,17,12,22,19,22,15
"ENSG00000279386",5,4,1,10,5,6,2,6
"ENSG00000169299",1986,2283,2256,2832,3162,2470,3833,4124
"ENSG00000239532",0,0,1,0,0,3,1,0
"ENSG00000181826",934,988,679,707,1139,1059,591,616
"ENSG00000174145",2,1,1,2,1,0,0,0
"ENSG00000130045",1,0,2,0,2,1,0,1
"ENSG00000261761",32,43,25,24,47,49,52,44
"ENSG00000248215",2,1,0,1,0,1,0,2
"ENSG00000247193",0,0,1,1,0,0,0,0
"ENSG00000248466",0,0,0,2,0,0,0,0
"ENSG00000136908",1487,1375,1523,1399,1823,1443,1662,1776
"ENSG00000253508",0,0,0,2,0,0,1,0
"ENSG00000296945",0,0,2,1,0,0,0,3
"ENSG00000112541",1326,1869,801,1077,2021,1763,799,940
"ENSG00000239983",1,1,2,0,0,0,0,1
"ENSG00000250723",0,0,0,0,0,0,0,1
"ENSG00000250954",0,0,0,0,0,0,3,0
"ENSG00000288321",0,0,1,0,0,0,1,0
"ENSG00000250076",0,1,5,4,1,0,3,3
"ENSG00000188153",21,44,17,22,57,52,59,54
"ENSG00000286596",13,23,11,10,13,36,4,9
"ENSG00000251113",0,0,0,0,0,0,0,1
"ENSG00000214338",2,4,0,2,5,1,7,5
"ENSG00000250038",0,0,4,3,1,0,5,5
"ENSG00000286321",0,0,0,0,0,0,1,0
"ENSG00000243304",0,0,0,0,0,0,1,0
"ENSG00000205830",0,0,0,2,0,1,0,0
"ENSG00000300505",0,1,0,1,0,0,3,1
"ENSG00000249699",1,0,2,2,2,2,2,1
"ENSG00000240005",5,4,1,3,8,6,0,7
"ENSG00000109680",96,92,69,89,137,100,89,95
"ENSG00000168214",2870,3821,2012,2928,4253,3745,3552,3719
"ENSG00000248452",0,1,0,0,0,0,0,0
"ENSG00000091490",884,1171,441,489,1683,1710,608,706
"ENSG00000250050",1,0,0,0,0,0,0,0
"ENSG00000242640",0,0,0,0,1,0,0,0
"ENSG00000301957",0,0,0,0,0,0,0,1
"ENSG00000157765",0,0,1,0,0,0,1,1
"ENSG00000306142",2,1,3,0,1,1,1,1
"ENSG00000248608",4,4,4,5,6,5,0,3
"ENSG00000298218",3,4,4,1,1,0,1,2
"ENSG00000168228",278,378,319,370,456,341,523,597
"ENSG00000304023",1,0,1,0,2,2,1,0
"ENSG00000038210",718,926,369,546,909,824,518,567
"ENSG00000298600",0,0,0,0,0,0,0,1
"ENSG00000109610",255,261,46,35,293,321,86,80
"ENSG00000261121",0,4,2,0,0,2,2,0
"ENSG00000300621",0,0,0,0,0,1,0,0
"ENSG00000289201",4,6,0,6,6,6,3,4
"ENSG00000226045",0,1,0,0,0,0,0,0
"ENSG00000293969",1,2,0,1,0,0,1,0
"ENSG00000167393",17,287,3,85,296,83,123,301
"ENSG00000298732",0,0,0,1,0,0,0,0
"ENSG00000248837",85,114,131,130,102,91,143,153
"ENSG00000307489",0,0,0,1,0,0,0,0
"ENSG00000237350",83,79,182,107,95,92,117,152
"ENSG00000249948",1,3,1,0,2,2,0,0
"ENSG00000095015",624,1148,295,490,753,702,438,424
"ENSG00000309702",1,1,2,2,2,4,2,8
"ENSG00000297378",2,0,0,1,3,1,0,2
"ENSG00000306236",0,4,0,0,0,0,0,0
"ENSG00000250039",0,1,0,0,0,0,0,0
"ENSG00000278921",0,1,0,0,0,0,0,1
"ENSG00000185774",2,4,2,15,0,2,0,2
"ENSG00000306486",0,0,1,0,1,0,0,0
"ENSG00000163138",523,621,464,510,710,648,616,674
"ENSG00000303533",0,0,0,1,0,0,1,0
"ENSG00000248228",1,0,2,1,0,0,2,1
"ENSG00000306143",0,0,1,0,0,1,0,0
"ENSG00000279379",0,1,0,0,1,0,0,0
"ENSG00000197153",4,5,6,3,5,1,6,4
"ENSG00000248238",15,16,5,8,23,20,11,4
"ENSG00000301657",0,0,0,0,1,1,0,0
"ENSG00000235413",3,1,1,0,0,1,0,2
"ENSG00000118579",1134,1369,1079,1304,1496,1186,1312,1413
"ENSG00000002549",1990,2052,2196,2027,2674,2153,2239,2403
"ENSG00000151552",1616,1621,2183,1443,1812,1557,1686,2047
"ENSG00000164989",98,122,115,124,134,129,133,165
"ENSG00000287081",0,0,0,0,0,0,0,1
"ENSG00000169744",2,2,0,5,2,0,2,2
"ENSG00000293014",0,1,2,1,0,0,1,0
"ENSG00000242358",7,4,26,13,11,9,8,14
"ENSG00000263327",7,16,25,12,17,13,14,7
"ENSG00000303340",204,168,188,148,251,211,146,203
"ENSG00000295894",44,144,46,56,117,53,91,98
"ENSG00000178031",34,62,236,230,82,69,368,404
"ENSG00000169762",515,593,471,542,723,708,668,783
"ENSG00000007062",9,20,11,1,86,90,24,18
"ENSG00000122008",358,624,292,472,617,605,531,633
"ENSG00000137441",316,319,210,195,448,402,149,206
"ENSG00000137440",6,4,49,35,28,5,118,117
"ENSG00000004468",2,1,1,0,3,1,2,2
"ENSG00000297236",1,0,4,0,1,1,0,1
"ENSG00000294363",1,0,4,1,2,0,1,6
"ENSG00000214846",5,0,4,3,2,4,2,7
"ENSG00000308512",0,0,0,0,0,0,0,1
"ENSG00000109743",615,713,653,683,968,775,928,973
"ENSG00000237765",633,820,688,884,807,691,904,1034
"ENSG00000305512",107,120,103,122,146,130,148,187
"ENSG00000305530",1,0,0,0,0,1,0,0
"ENSG00000244701",23,40,24,35,46,27,36,39
"ENSG00000273133",0,1,1,0,0,1,0,2
"ENSG00000146223",4502,5486,6207,6212,6746,5361,7425,8244
"ENSG00000248698",0,0,1,0,0,0,0,0
"ENSG00000242209",0,0,1,0,0,0,0,0
"ENSG00000235583",1,0,1,0,0,0,0,0
"ENSG00000038219",2366,3981,2639,2199,3848,3581,2845,2986
"ENSG00000246095",0,0,1,1,1,0,1,0
"ENSG00000288699",0,0,0,0,2,0,5,2
"ENSG00000109705",36,36,21,16,45,41,27,18
"ENSG00000281202",0,0,0,2,0,0,0,0
"ENSG00000157869",461,463,381,463,511,447,501,538
"ENSG00000205940",95,88,236,171,140,111,147,199
"ENSG00000301095",0,1,1,0,0,0,0,0
"ENSG00000250371",0,1,0,1,0,0,0,0
"ENSG00000302819",1,0,2,0,3,0,1,0
"ENSG00000305112",7,12,2,6,8,3,7,9
"ENSG00000251210",0,0,3,0,0,0,0,0
"ENSG00000309282",0,1,0,0,0,0,0,0
"ENSG00000173926",6,11,16,7,20,17,32,35
"ENSG00000002587",82,96,86,85,120,118,82,113
"ENSG00000250896",59,77,95,90,58,53,85,122
"ENSG00000308642",32,27,30,34,42,28,39,28
"ENSG00000308608",1,2,2,2,1,3,0,2
"ENSG00000186472",125,234,525,560,259,187,1010,1062
"ENSG00000298262",0,0,0,0,2,0,0,0
"ENSG00000109684",0,0,0,0,2,2,0,0
"ENSG00000250613",0,0,1,0,0,0,0,0
"ENSG00000198944",28,32,5,4,27,47,7,7
"ENSG00000180694",492,520,270,543,615,571,643,720
"ENSG00000071127",8805,9783,15848,11518,12772,10272,14973,16948
"ENSG00000250413",3,0,0,2,5,0,4,4
"ENSG00000109667",0,0,2,3,1,0,1,1
"ENSG00000294454",0,1,1,0,1,0,0,0
"ENSG00000203436",0,0,0,0,0,0,0,1
"ENSG00000169116",19,32,24,16,61,49,48,51
"ENSG00000304573",2,8,9,6,7,5,12,2
"ENSG00000249799",1,0,1,1,0,1,0,1
"ENSG00000244004",0,0,0,2,0,0,0,0
"ENSG00000284648",0,0,0,2,0,0,0,1
"ENSG00000072201",106,156,67,75,176,189,143,106
"ENSG00000304497",0,0,0,0,0,0,0,1
"ENSG00000249443",0,0,1,0,0,1,0,0
"ENSG00000284689",0,0,0,1,0,0,0,0
"ENSG00000248364",0,0,0,0,0,0,2,0
"ENSG00000186146",0,1,0,0,0,0,0,1
"ENSG00000287367",0,0,0,0,2,0,0,0
"ENSG00000310323",1,9,3,1,1,3,4,2
